,dim,nb_samples,method,time
0,3,500,univariate_test,0.19565129280090332
1,3,500,univariate_interaction,0.39337921142578125
2,3,500,multivariate_cox,0.1368119716644287
3,3,500,multivariate_tree,0.07883143424987793
4,3,500,sides,8.042704820632935
5,3,500,model_based,0.5144546031951904
6,3,500,interaction_trees,1.2095496654510498
7,3,500,sequential_batting,19.55441451072693
8,3,500,directed_peeling,0.2117767333984375
9,20,500,univariate_test,1.3307764530181885
10,20,500,univariate_interaction,2.6114120483398438
11,20,500,multivariate_cox,0.6900477409362793
12,20,500,multivariate_tree,0.25099682807922363
13,20,500,sides,48.86182355880737
14,20,500,model_based,0.2788581848144531
15,20,500,interaction_trees,7.894305467605591
16,20,500,sequential_batting,151.01777839660645
17,20,500,directed_peeling,7.26566481590271
18,100,500,univariate_test,6.475382566452026
19,100,500,univariate_interaction,12.815938711166382
20,100,500,multivariate_cox,2.755758047103882
21,100,500,multivariate_tree,0.8909556865692139
22,100,500,sides,241.83606886863708
23,100,500,model_based,0.4990553855895996
24,100,500,interaction_trees,40.8512442111969
25,100,500,sequential_batting,1473.3951315879822
26,100,500,directed_peeling,4.321556568145752
27,500,500,univariate_test,41.788819789886475
28,500,500,univariate_interaction,62.77071022987366
29,500,500,multivariate_cox,131.9032552242279
30,500,500,multivariate_tree,5.118042945861816
31,500,500,sides,11238.467167854309
32,500,500,model_based,4.251559734344482
33,500,500,interaction_trees,223.18527674674988
34,500,500,sequential_batting,9446.53709077835
35,500,500,directed_peeling,179.2067677974701
36,1000,500,univariate_test,105.81741523742676
37,1000,500,univariate_interaction,124.65509796142578
38,1000,500,multivariate_cox,7187.273867607117
39,1000,500,multivariate_tree,7.384390354156494
40,1000,500,sides,15589.672761678696
41,1000,500,model_based,3.3104865550994873
42,1000,500,interaction_trees,456.25839924812317
43,1000,500,sequential_batting,22799.134497642517
44,1000,500,directed_peeling,5269.817343711853
